name,address,lat,lng,status,type,description,developer,construction,investment,units,source,photo
Lake Mirror Promenade Preservation,"Lake Mirror Promenade, Lakeland, FL 33801",28.043889,-81.951668,Completed,Parks & Recreation,"Multi-year preservation effort including cleaning, masonry repairs and condition work on the historic Frances Langford Promenade and Loggia.",City of Lakeland,Multiple preservation contractors; primary contractor not consolidated in public summary,"~$469,000 spent over five years through 2025",Historic promenade / public realm; 0.8-mile mapped trail,https://www.lkldnow.com/lake-mirror-promenade-approaches-100-gets-a-little-work-done/,
Publix Downtown Technology Campus,"321 S Kentucky Ave & 333 E Lemon St, Lakeland, FL 33801",28.0419,-81.953,Under Construction,Commercial,"Multi-block technology campus consolidating and expanding Publix technology operations through major renovations, equipment investment and parking.","Publix Super Markets, Inc.",Not publicly confirmed in reviewed sources,$121+ million planned investment,"260,000+ SF office; ~700-space garage; ~1,400 employee capacity",https://www.lakelandgov.net/news/posts/2025/april/public-notice-publix-supermarkets-expands-downtown-lakeland-footprint-with-planned-technology-campus-road-closure-impacts/,
Oak Street Redevelopment / Onicx,"Oak St between Tennessee Ave & N Kentucky Ave, Lakeland, FL 33801",28.0475,-81.9557,Proposed,Mixed Use,"Proposed multifamily, retail/office and structured parking redevelopment of the city/CRA Oak Street surface parking lot. Development agreement was later terminated.","Onicx Investments II, LLC",Not applicable / not built,~$70 million discussed; not constructed,"At least 200 apartments; ~2,000 SF retail/office; ~424 structured parking spaces",https://www.lakelandgov.net/portals/CityClerk/City%20Commission/Agendas/2023/02-20-23/IV-A%20-%20OakStreetUpdateMemo.pdf,
Peachtree Flats,"321 W Peachtree St, Lakeland, FL 33801",28.0502,-81.961,Proposed,Residential,Urban infill multifamily development planned on the north side of Lake Wire with structured parking and CRA-supported site/infrastructure improvements.,Private developer entity under CRA agreement,Not publicly identified,"Private investment not publicly confirmed; CRA FY26 allocation $775,000",84 apartments; structured parking,https://www.lakelandgov.net/portals/CityClerk/City%20Commission/Agendas/2023/04-17-23/IV-B%20-%20LakeWireFundAgmtMemo.pdf,
Lime Street Apartments,"611-613 & 625 E Lime St, Lakeland, FL 33801",28.0397,-81.9488,Proposed,Residential,Fully permitted Garden District multifamily project at Lime Street and Indiana Avenue; site is currently marketed as a shovel-ready development opportunity.,625 E Lime LLC / CODA Development concept,Not built,Not publicly disclosed,"48 units; ~49,896 SF planned; 0.89 acre",https://www.crexi.com/properties/2200307/florida-fully-entitled-multi-family-site-in-downtown-lakeland,
The Thelma,"Massachusetts Ave north of Lakeland Police Department, Lakeland, FL 33801",28.0483,-81.9542,In Development,Mixed Use,Five-story traditional mixed-use development planned with ground-floor commercial space and office/residential uses above.,Gregory Fancelli / affiliated development entity,Not publicly identified,Not publicly disclosed,"49 residential units; 10,600 SF commercial space",https://flauditor.gov/pages/mun_efile%20rpts/2025%20lakeland.pdf,
Prospect Lake Wire - Phase II,"West of downtown / former Florida Tile site, Lakeland, FL 33815",28.0468,-81.9644,Proposed,Mixed Use,Second phase of the Lake Wire brownfield redevelopment planned to extend the multifamily and retail development.,Carter USA / Lake Wire Development Company,Not publicly identified,Not publicly disclosed,"~330 additional apartments; ~15,000 SF additional retail",https://www.lakelandgov.net/portals/CityClerk/City%20Commission/Agendas/2024/03-04-24/III-C-1%20-%20CompPlanReportPres.pdf,
Munn Park Redesign,"210 E Main St, Lakeland, FL 33801",28.044744,-81.955698,In Development,Parks & Recreation,"Downtown civic park redesign effort focused on improving shade, gathering, play/interactive elements and the overall public realm. Major physical reconstruction has not yet been delivered.",City of Lakeland,Not yet selected / not publicly identified,"$100,000 identified for Munn Park renovation in prior capital plan; full build cost not confirmed",Downtown public park / civic square,https://www.lakelandgov.net/portals/CityClerk/City%20Commission/Agendas/2022/12-19-22/22-056Ord.pdf,
South Florida Avenue Permanent Reconstruction,"S Florida Ave from Lime St to Ariana St, Lakeland, FL",28.0353,-81.9571,In Development,Government,"Permanent reconstruction of the one-mile South Florida Avenue corridor into a three-lane configuration with wider sidewalks, pedestrian/bicycle improvements, drainage, signals, landscaping and streetscape features.",Florida Department of Transportation / City of Lakeland,"Construction contractor not yet selected; Patel, Greene & Associates is design engineer",~$22.6 million estimated construction cost,~1-mile corridor; 3 standard-width travel lanes plus pedestrian/public-realm improvements,https://www.lakelandgov.net/departments/communications/road-diet/,
Hartsell-Lohr Building Redevelopment,"106-114 E Main St, Lakeland, FL 33801",28.0439,-81.9567,In Development,Mixed Use,"Planned restoration of a century-old downtown building for a food hall, retail uses and potentially a boutique hotel upstairs.",Alejandro Millan,Sunpower Contractors / owner-led construction team,Not publicly disclosed,Historic multi-storefront building; food hall + retail + potential boutique hotel,https://www.lkldnow.com/long-vacant-downtown-lakeland-landmark-gets-new-owner-new-vision/,
Morgan Avenue Apartments,"608 N Morgan Ave, Lakeland, FL 33801",28.0521,-81.9504,Proposed,Residential,Early-stage multifamily concept in the downtown area; concept planning identified in 2026.,Not publicly confirmed,Not publicly identified,Not publicly disclosed,Unit count / square footage not yet publicly confirmed,https://lakelandmarks.com/d/morgan-ave-apartments/,
MIDFLORIDA Downtown Headquarters Expansion,"Former Oats Building, Downtown Lakeland, FL 33801",28.0447,-81.957,In Development,Commercial,"Expansion of MIDFLORIDA Credit Union's downtown headquarters footprint into the former Oats Building, with plans to approximately double its downtown workforce.",MIDFLORIDA Credit Union,Not publicly identified,Not publicly disclosed,"46,000 SF; workforce planned to grow from ~200 to ~400 downtown employees",https://lakelandedc.com/wp-content/uploads/2025/12/LEDC-2025-Annual-Report.pdf,
